"legacy_id","legacy_customer_id","new_customer_uuid","new_customer_code","new_traveller_uuid","customer_type","deduplicated_to_legacy_id","association_method"
"1783","27031","8f54858f-56ca-5025-9390-74c39eb8f7cf","LEGACY-27031-1783-65C69689","","RETAIL","","INDIVIDUAL"
"1784","94032","727a046e-abea-515d-a9e6-67f396679735","LEGACY-94032-1784-3A48F028","","RETAIL","","INDIVIDUAL"
"1785","82373","37dbbca0-c084-54a4-b6ae-a3c58e3aac01","LEGACY-82373-1785-622D5923","","RETAIL","","INDIVIDUAL"
"1786","36234","f97b6c21-79a6-5ea0-abd4-4ae956077ed2","LEGACY-36234-1786-ADB01D44","","RETAIL","","INDIVIDUAL"
"1787","24520","624f4e38-c07b-5d88-a29a-d49872a91c7a","LEGACY-24520-1787-B8A0DBDE","","RETAIL","","INDIVIDUAL"
"1788","66982","b2f7e444-ab73-5b3c-8034-8795958f81f1","LEGACY-66982-1788-E009C7B3","","RETAIL","","INDIVIDUAL"
"1790","36001","f75362be-c228-5f6d-9afe-82871b4a8ee0","LEGACY-36001-1790-649CD3DA","","RETAIL","","INDIVIDUAL"
"1791","22601","cb878ed8-9f74-53f2-9533-b919c544f7e5","LEGACY-22601-1791-96FF6EF9","","RETAIL","","INDIVIDUAL"
"1792","91546","111ba7e0-6444-55a9-bda4-72e36bfa0d36","LEGACY-91546-1792-132704D6","","RETAIL","","INDIVIDUAL"
"1793","44998","bb85b51a-da64-5ba3-b118-63c424f5dd72","LEGACY-44998-1793-3B58BC5F","","RETAIL","","INDIVIDUAL"
"1794","96704","a36f3717-30a7-5af1-b0fe-54350c978385","LEGACY-96704-1794-6CE4A123","","RETAIL","","INDIVIDUAL"
"1795","52230","a723a907-1b03-5f47-aa8d-465a8250a87e","LEGACY-52230-1795-E99FD9A6","","RETAIL","","INDIVIDUAL"
"1796","67694","ff82f077-501e-519a-84da-2b909cf51dc5","LEGACY-67694-1796-D2993DCC","","RETAIL","","INDIVIDUAL"
"1797","28685","2622b056-daa1-5919-b54a-a6fad3b87cde","LEGACY-28685-1797-98B4BCC6","","RETAIL","","INDIVIDUAL"
"1798","42665","9375c008-6528-524f-88b7-44e162f845b9","LEGACY-42665-1798-DBED54DE","","RETAIL","","INDIVIDUAL"
